t,z,u
0,0.1,7.45E-14
0.1,0.1,0.43042
0.2,0.1,0.74885
0.3,0.1,0.89251
0.4,0.1,0.95407
0.5,0.1,0.98028
0,0.2,-3.28E-23
0.1,0.2,0.25278
0.2,0.2,0.60977
0.3,0.2,0.812
0.4,0.2,0.91181
0.5,0.2,0.95879
0,0.3,-4.89E-30
0.1,0.3,0.12561
0.2,0.3,0.46241
0.3,0.3,0.71097
0.4,0.3,0.85299
0.5,0.3,0.9265
0,0.4,-7.30E-38
0.1,0.4,0.051944
0.2,0.4,0.3237
0.3,0.4,0.59579
0.4,0.4,0.77753
0.5,0.4,0.88166
0,0.5,-8.33E-46
0.1,0.5,0.017676
0.2,0.5,0.20753
0.3,0.5,0.47551
0.4,0.5,0.68762
0.5,0.5,0.82353
0,0.6,-8.48E-54
0.1,0.6,0.0049609
0.2,0.6,0.12109
0.3,0.6,0.35975
0.4,0.6,0.58771
0.5,0.6,0.75283
0,0.7,-8.10E-62
0.1,0.7,0.0011725
0.2,0.7,0.064095
0.3,0.7,0.25677
0.4,0.7,0.48421
0.5,0.7,0.67238
0,0.8,-7.44E-70
0.1,0.8,2.41E-04
0.2,0.8,0.030827
0.3,0.8,0.17269
0.4,0.8,0.38538
0.5,0.8,0.58825
0,0.9,-6.65E-78
0.1,0.9,4.53E-05
0.2,0.9,0.013848
0.3,0.9,0.11242
0.4,0.9,0.30361
0.5,0.9,0.51316
